BP,DHD,Dtrc7,Atrc7,Drec7,lat,lon
0.4394,67.76001,0,0,0,10.625,103.275
0.5077,67.76001,0,0,0,10.625,103.275
0.5143,67.76001,0,0,0,10.625,103.275
0.0469,60.7,0,0,10,24.725,-80.975
0.1667,69.75,0,0,0,10.675,103.275
0.1667,70.03999,0,0,0,10.675,103.325
0.3273,69.75,0,0,0,10.675,103.275
0.3897,70.03999,0,0,0,10.675,103.325
0.1333,71.75999,0,0,7,10.725,103.325
0.1667,71.75999,0,0,7,10.725,103.325
0.375,71.75999,0,0,7,10.725,103.325
0.125,70.03999,0,0,0,10.675,103.325
0.3667,70.74,0,0,0,10.725,103.275
0.5,70.74,0,0,0,10.725,103.275
0.5,70.03999,0,0,0,10.675,103.325
0.0156,59.12,0,0,8,24.575,-81.475
0.0194,57.95,0,0,8,24.575,-81.375
0.1667,65.81999,0,0,10,24.775,-80.925
0.0839,65.81999,0,0,10,24.775,-80.925
0.0922,56.86,0,0,10,24.725,-80.925
0,65.81999,0,0,10,24.775,-80.925
0.6429,67.87,0,0,0,10.625,103.325
0.85,67.87,0,0,0,10.625,103.325
0,58.54,0,0,8,24.575,-81.425
0,56.1,0,0,8,24.575,-81.325
0,56.1,0,0,8,24.575,-81.325
0,56.1,0,0,8,24.575,-81.325
0,67.87,0,0,0,10.625,103.325
0.3804,67.76001,0,0,0,10.625,103.275
0.5417,67.87,0,0,0,10.625,103.325
0.0167,56,0,0,0,24.525,-81.625
0.0311,60.92,0,0,7,24.575,-81.575
0.0656,60.9,0,0,7,24.575,-81.525
0,56,0,0,0,24.525,-81.625
0,56.16,0,0,7,24.525,-81.575
0.475,67.76001,0,0,0,10.625,103.275
0.6032,69.75,0,0,0,10.675,103.275
0.125,60.92,0,0,7,24.575,-81.575
0.0115,56,0,0,0,24.525,-81.625
0.069,57.88,0,0,7,24.575,-81.675
0.1875,69.75,0,0,0,10.675,103.275
0.45,69.75,0,0,0,10.675,103.275
0.7846,67.87,0,0,0,10.625,103.325
0.0541,77.83,0,0,0,17.925,-67.025
0.389,77.83,0,0,0,17.925,-67.025
0.42,77.83,0,0,0,17.925,-67.025
0.583,77.83,0,0,0,17.925,-67.025
0,68.98,0,0,0,5.975,102.725
0,68.12,0,0,0,5.925,102.775
0,68.98,0,0,0,5.975,102.725
0,68.12,0,0,0,5.925,102.775
0.05,72.37,0,0,0,5.225,103.275
0.1,72.37,0,0,0,5.225,103.275
0,72.37,0,0,0,5.225,103.275
0,80.99001,0,0,0,2.925,104.125
0,81.12,0,0,0,2.875,104.125
0.55,68.83,0,0,0,10.675,103.275
0.1389,68.52,0,0,0,10.675,103.275
0.124,79.23,0,0,0,17.875,-66.975
0.439,79.23,0,0,0,17.875,-66.975
1,79.23,0,0,0,17.875,-66.975
0.0493,73.97,0,0,0,18.225,-64.775
0.95,78.48999,0,0,0,28.175,-94.275
0.0541,77.83,0,0,0,17.925,-67.025
0.387,77.83,0,0,0,17.925,-67.025
0.389,77.83,0,0,0,17.925,-67.025
0.873,77.83,0,0,0,17.925,-67.025
0.1746,72.50999,0,0,0,18.325,-64.825
0.09,73.91,0,0,0,18.275,-64.875
0.1367,73.79,0,0,0,18.325,-64.975
0.2016,73.79,0,0,0,18.325,-64.975
0.199,79.23,0,0,0,17.875,-66.975
0.39,79.23,0,0,0,17.875,-66.975
0.584,79.23,0,0,0,17.875,-66.975
0.1326,75.71,0,0,0,18.325,-65.075
0.1357,73.91,0,0,0,18.275,-64.875
0.0744,78.00999,0,0,0,18.225,-65.025
0.1448,74.39,0,0,0,18.275,-64.925
0.2081,73.79,0,0,0,18.325,-64.975
0.1659,72.92,0,0,0,18.375,-64.925
0.85,85.39,0,0,0,11.325,-74.125
0.1135,74.13,0,0,0,18.375,-65.025
0.1253,77.66,0,0,0,17.775,-64.825
0.1936,77.66,0,0,0,17.775,-64.825
0.2459,82.55,0,0,0,17.725,-64.575
0.0556,73.91,0,0,0,18.275,-64.875
0.1433,73.14,0,0,0,18.275,-64.825
0.1441,71.63,0,0,0,18.325,-64.775
0.0384,79.78,0,0,0,18.175,-65.075
0.0461,78.86,0,0,0,18.175,-64.975
0,73.67,0,0,0,18.425,-69.675
0,62.66,12,2.68,32,17.925,-87.925
0,62.81,12,2.98,29,17.825,-87.975
0,63.49,7,1.34,12,24.575,-81.425
0,64.58,15,2.98,12,24.625,-81.425
0.013,64.05,7,1.36,12,24.525,-81.575
0.0201,64.05,7,1.36,12,24.525,-81.575
0.0299,63.8,7,1.11,12,24.525,-81.525
0.046,64.05,7,1.36,12,24.525,-81.575
0.0476,64.05,7,1.36,12,24.525,-81.575
0.0633,64.05,7,1.36,12,24.525,-81.575
0,56.05,19,3.92,17,18.425,-69.675
0.1077,63.39,0,0,12,24.475,-81.675
0.1081,64.71001,7,1.2,12,24.475,-81.725
0.165,63.39,0,0,12,24.475,-81.675
0.0513,66.46001,9,2.06,12,24.525,-81.725
0.0556,64.71001,7,1.2,12,24.475,-81.725
0.1273,64.3,9,1.61,12,24.525,-81.625
0.0222,64.3,9,1.61,12,24.525,-81.625
0.0547,64.3,9,1.61,12,24.525,-81.625
0.0774,64.05,7,1.36,12,24.525,-81.575
0.0867,65.31,9,1.87,12,24.525,-81.675
0.1,66.05,14,2.97,12,24.575,-81.675
0,66.05,14,2.97,12,24.575,-81.675
0.0154,63.47001,7,1.26,12,24.575,-81.375
0.0537,62.28,7,1.11,12,24.575,-81.325
0.0623,63.47001,7,1.26,12,24.575,-81.375
0.0721,61.75,0,0,12,24.525,-81.425
0.2586,63.47001,7,1.26,12,24.575,-81.375
0.0086,63.47001,7,1.26,12,24.575,-81.375
0.1176,62.23,0,0,12,24.525,-81.475
0.1333,63.62,8,1.5,12,24.575,-81.475
0.1397,63.49,7,1.34,12,24.575,-81.425
0.1624,62.23,0,0,12,24.525,-81.475
0.2,62.23,0,0,12,24.525,-81.475
0.1429,57.87,13,1.97,12,24.675,-81.025
0.1,56.38,8,1.42,12,24.675,-80.975
0.125,58.23,8,1.48,12,24.625,-81.125
0.1311,58.23,8,1.48,12,24.625,-81.125
0.1818,58.23,8,1.48,12,24.625,-81.125
0.3067,58.23,8,1.48,12,24.625,-81.125
0.1098,58.92,15,2.51,12,24.675,-81.075
0.1393,56.36,7,1.12,12,24.625,-81.075
0.2419,56.36,7,1.12,12,24.625,-81.075
0.2935,56.36,7,1.12,12,24.625,-81.075
0.3284,58.92,15,2.51,12,24.675,-81.075
0.4043,56.36,7,1.12,12,24.625,-81.075
0.209,63.62,8,1.5,12,24.575,-81.475
0.248,64.77,9,2.04,12,24.575,-81.525
0.0476,70.76,9,2.59,12,24.475,-81.975
0.3871,67.66,7,1.6,12,24.425,-81.925
0.427,70.76,9,2.59,12,24.475,-81.975
0.4706,67.66,7,1.6,12,24.425,-81.925
0.0968,57.75,15,2.84,13,24.725,-80.925
0.1935,57.75,15,2.84,13,24.725,-80.925
0.1276,57.75,15,2.84,13,24.725,-80.925
0.1571,57.75,15,2.84,13,24.725,-80.925
0.075,57.87,13,1.97,12,24.675,-81.025
0.0851,57.75,15,2.84,13,24.725,-80.925
0.0955,57.75,15,2.84,13,24.725,-80.925
0.2609,57.87,13,1.97,12,24.675,-81.025
0.14,57.87,13,1.97,12,24.675,-81.025
0.0278,58.92,15,2.51,12,24.675,-81.075
0.146,57.87,13,1.97,12,24.675,-81.025
0.3214,57.87,13,1.97,12,24.675,-81.025
0.0645,57.26,13,1.92,15,24.925,-80.625
